ds_name,method,text-tab
prod_sent,baseline,-0.6597875138286327
prod_sent,all_text,-0.5024528652057052
prod_sent,ensemble_25,-0.22666106095503624
prod_sent,ensemble_50,0.21454247846601215
prod_sent,ensemble_75,0.6557460178870606
prod_sent,stack,-0.6756447656808842
prod_sent,baseline,-0.8125637213233858
prod_sent,all_text,-0.5286187615944072
prod_sent,ensemble_25,-0.314295643143948
prod_sent,ensemble_50,0.039273314088189015
prod_sent,ensemble_75,0.39284227132032484
prod_sent,stack,-0.6756447656808842
prod_sent,baseline,-0.9091136624228966
prod_sent,all_text,-0.45261298177763826
prod_sent,ensemble_25,-0.2531110473392864
prod_sent,ensemble_50,0.16164250569751165
prod_sent,ensemble_75,0.5763960587343097
prod_sent,stack,-0.6756447656808842
prod_sent,baseline,-0.10795463044046572
prod_sent,all_text,-0.613429862279445
prod_sent,ensemble_25,-0.7083899039206789
prod_sent,ensemble_50,-0.26034471674448073
prod_sent,ensemble_75,0.1877004704317159
prod_sent,stack,-1.2657027443653106
prod_sent,baseline,-0.11224358490793607
prod_sent,all_text,-0.4987084138556384
prod_sent,ensemble_25,-0.2558318186967036
prod_sent,ensemble_50,0.15620096298267744
prod_sent,ensemble_75,0.5682337446620582
prod_sent,stack,-0.6756447656808842
prod_sent,baseline,0.005017221870123878
prod_sent,all_text,-0.7718560440535657
prod_sent,ensemble_25,-0.6399274180856278
prod_sent,ensemble_50,-0.12860658337850794
prod_sent,ensemble_75,0.38271425132861125
prod_sent,stack,-0.7736769557833952
prod_sent,baseline,-0.492396197947528
prod_sent,all_text,-0.49286627204157407
prod_sent,ensemble_25,-0.24937353133655704
prod_sent,ensemble_50,0.16911753770297122
prod_sent,ensemble_75,0.5876086067424988
prod_sent,stack,-0.6583273281724205
prod_sent,baseline,-0.9672816941917214
prod_sent,all_text,-0.5376600547228008
prod_sent,ensemble_25,-0.23601529527887333
prod_sent,ensemble_50,0.19583400981833876
prod_sent,ensemble_75,0.6276833149155503
prod_sent,stack,-0.6759622622030597
prod_sent,baseline,0.31946849540642386
prod_sent,all_text,-0.7781961819157004
prod_sent,ensemble_25,-0.6243814251822924
prod_sent,ensemble_50,-0.132800044396864
prod_sent,ensemble_75,0.35878133638856574
prod_sent,stack,-0.37885770894961546
prod_sent,baseline,-0.3870025773624851
prod_sent,all_text,-0.48971095793647684
prod_sent,ensemble_25,-0.24397577440332224
prod_sent,ensemble_50,0.17991305156944004
prod_sent,ensemble_75,0.6038018775422023
prod_sent,stack,-0.6756447656808842
prod_sent,baseline,0.04804954893592783
prod_sent,all_text,-0.618262883273419
prod_sent,ensemble_25,-0.7062429482128285
prod_sent,ensemble_50,-0.26305630579664163
prod_sent,ensemble_75,0.18013033661954814
prod_sent,stack,-1.2558517870310861
prod_sent,baseline,-0.5486368904821575
prod_sent,all_text,-0.4932319341320544
prod_sent,ensemble_25,-0.2762764833934007
prod_sent,ensemble_50,0.11531163358928348
prod_sent,ensemble_75,0.5068997505719667
prod_sent,stack,-0.6756447656808842
prod_sent,baseline,-0.22490378780606646
prod_sent,all_text,-0.8341321416618304
prod_sent,ensemble_25,-0.7761603594970637
prod_sent,ensemble_50,-0.4010724662013786
prod_sent,ensemble_75,-0.025984572905696224
prod_sent,stack,-0.8088031650709845
prod_sent,baseline,-0.6039514341069258
prod_sent,all_text,-0.49004408644628716
prod_sent,ensemble_25,-0.22891501187778612
prod_sent,ensemble_50,0.21003457662051228
prod_sent,ensemble_75,0.6489841651188107
prod_sent,stack,-0.6756447656808842
prod_sent,baseline,-0.21797496944626393
prod_sent,all_text,-0.47054570037871624
prod_sent,ensemble_25,-0.6372560263583017
prod_sent,ensemble_50,-0.158549246748881
prod_sent,ensemble_75,0.3201575328605406
prod_sent,stack,-1.1567876828204648
prod_sent,baseline,-0.010775838843203767
prod_sent,all_text,-0.489578416920267
prod_sent,ensemble_25,-0.2222531454936934
prod_sent,ensemble_50,0.2233583093886976
prod_sent,ensemble_75,0.6689697642710888
prod_sent,stack,-0.6756447656808842
prod_sent,baseline,0.25015996571606486
prod_sent,all_text,-0.47685419496381654
prod_sent,ensemble_25,-0.576919439040292
prod_sent,ensemble_50,-0.0044092874515693214
prod_sent,ensemble_75,0.5681008641371573
prod_sent,stack,-1.28037996240215
prod_sent,baseline,0.005869667022125213
prod_sent,all_text,-0.42884022713289593
prod_sent,ensemble_25,-0.5514033418415495
prod_sent,ensemble_50,0.023188166302541724
prod_sent,ensemble_75,0.5977796744466324
prod_sent,stack,-0.5769505190352001
prod_sent,baseline,-0.9085678400091032
prod_sent,all_text,-0.5015317378286273
prod_sent,ensemble_25,-0.28346165492631104
prod_sent,ensemble_50,0.10094129052346268
prod_sent,ensemble_75,0.4853442359732357
prod_sent,stack,-0.6756447656808842
prod_sent,baseline,-0.7931512982152829
prod_sent,all_text,-0.632825294053182
prod_sent,ensemble_25,-0.3869154803870579
prod_sent,ensemble_50,-0.10596636039803056
prod_sent,ensemble_75,0.17498275959099463
prod_sent,stack,-0.6756439905430511
prod_sent,baseline,-0.8964775157528493
prod_sent,all_text,-0.537228092434816
prod_sent,ensemble_25,-0.339744462300684
prod_sent,ensemble_50,-0.011624324225283256
prod_sent,ensemble_75,0.3164958138501161
prod_sent,stack,-0.6756447656808842
prod_sent,baseline,-0.1400590977511456
prod_sent,all_text,-0.9238311043800786
prod_sent,ensemble_25,-0.7010880761061544
prod_sent,ensemble_50,-0.25092789941955956
prod_sent,ensemble_75,0.1992322772670328
prod_sent,stack,-0.8630441199168384
prod_sent,baseline,-0.0789352662737095
prod_sent,all_text,-0.49669920916669086
prod_sent,ensemble_25,-0.2100525537572202
prod_sent,ensemble_50,0.247759492861644
prod_sent,ensemble_75,0.7055715394805083
prod_sent,stack,-0.6549774060871668
prod_sent,baseline,-0.08107740941341035
prod_sent,all_text,-0.6603785109147431
prod_sent,ensemble_25,-0.7779418123848529
prod_sent,ensemble_50,-0.30568203149734247
prod_sent,ensemble_75,0.16657774939016146
prod_sent,stack,-1.4505812336596209
prod_sent,baseline,0.5087819321779533
prod_sent,all_text,-0.8033873541583308
prod_sent,ensemble_25,-0.5985913999591699
prod_sent,ensemble_50,-0.04593454712559231
prod_sent,ensemble_75,0.5067223057079846
prod_sent,stack,-0.8161493027758393
prod_sent,baseline,-0.02216023276074941
prod_sent,all_text,-0.3557992518856192
prod_sent,ensemble_25,-0.582029950840738
prod_sent,ensemble_50,-0.039099323742318504
prod_sent,ensemble_75,0.5038313033561033
prod_sent,stack,-0.8870872549933437
prod_sent,baseline,-0.14485217273831952
prod_sent,all_text,-0.4894732006581035
prod_sent,ensemble_25,-0.20957138676395237
prod_sent,ensemble_50,0.24872182684817956
prod_sent,ensemble_75,0.7070150404603117
prod_sent,stack,-0.6549774060871668
prod_sent,baseline,-0.01022095086257957
prod_sent,all_text,-0.4896812027122359
prod_sent,ensemble_25,-0.25000717015437385
prod_sent,ensemble_50,0.1678502600673369
prod_sent,ensemble_75,0.5857076902890473
prod_sent,stack,-0.6756447656808842
prod_sent,baseline,-1.0252291276466816
prod_sent,all_text,-0.5259008196182549
prod_sent,ensemble_25,-0.4026919842182062
prod_sent,ensemble_50,-0.13751936806032697
prod_sent,ensemble_75,0.1276532480975503
prod_sent,stack,-0.6356333896723515
prod_sent,baseline,-0.8684029765208834
prod_sent,all_text,-0.49862364085856814
prod_sent,ensemble_25,-0.29108662439476307
prod_sent,ensemble_50,0.0856913515865586
prod_sent,ensemble_75,0.4624693275678796
prod_sent,stack,-0.6756447656808842
prod_sent,baseline,-0.605569970698222
prod_sent,all_text,-0.48423324994510025
prod_sent,ensemble_25,-0.21862428165705472
prod_sent,ensemble_50,0.23061603706197498
prod_sent,ensemble_75,0.6798563557810048
prod_sent,stack,-0.6755644341300411
prod_sent,baseline,-0.01707551945429353
prod_sent,all_text,-0.7397073618590368
prod_sent,ensemble_25,-0.6961414533414627
prod_sent,ensemble_50,-0.24103465389017642
prod_sent,ensemble_75,0.21407214556110743
prod_sent,stack,-0.8630441199168384
prod_sent,baseline,-0.69842450680921
prod_sent,all_text,-0.4931385546992533
prod_sent,ensemble_25,-0.21161264497287202
prod_sent,ensemble_50,0.24463931043034137
prod_sent,ensemble_75,0.7008912658335543
prod_sent,stack,-0.6751809556021438
prod_sent,baseline,0.4365219769322721
prod_sent,all_text,-0.36437767619150696
prod_sent,ensemble_25,-0.5766073535463223
prod_sent,ensemble_50,-0.027219857107003365
prod_sent,ensemble_75,0.5221676393323148
prod_sent,stack,-0.9956847384520907
prod_sent,baseline,-0.667165376158664
prod_sent,all_text,-0.5386001375038177
prod_sent,ensemble_25,-0.23367143622099956
prod_sent,ensemble_50,0.2005217279340853
prod_sent,ensemble_75,0.6347148920891703
prod_sent,stack,-0.6756447656808842
prod_sent,baseline,-0.17290201189389337
prod_sent,all_text,-0.8039879244356416
prod_sent,ensemble_25,-0.6878056136172941
prod_sent,ensemble_50,-0.22436297444184028
prod_sent,ensemble_75,0.23907966473361214
prod_sent,stack,-0.20791095119636394
prod_sent,baseline,-1.0075450042058947
prod_sent,all_text,-0.5859285917133092
prod_sent,ensemble_25,-0.36670137722476925
prod_sent,ensemble_50,-0.06553815407345337
prod_sent,ensemble_75,0.23562506907786057
prod_sent,stack,-0.6756447656926106
prod_sent,baseline,-0.6135221336953691
prod_sent,all_text,-0.32976840870920554
prod_sent,ensemble_25,-0.30720725459478415
prod_sent,ensemble_50,0.05345009118651689
prod_sent,ensemble_75,0.4141074369678176
prod_sent,stack,-0.6756447656808842
prod_sent,baseline,-0.3219219402380986
prod_sent,all_text,-0.543549503495451
prod_sent,ensemble_25,-0.21775291454478696
prod_sent,ensemble_50,0.2323587712865104
prod_sent,ensemble_75,0.6824704571178082
prod_sent,stack,-0.655185058422404
prod_sent,baseline,0.6719093936699209
prod_sent,all_text,-0.19801303682848803
prod_sent,ensemble_25,-0.6211615904447364
prod_sent,ensemble_50,-0.09107492809672585
prod_sent,ensemble_75,0.43901173425128365
prod_sent,stack,-0.41547353169282764
prod_sent,baseline,0.2833415868153679
prod_sent,all_text,-0.5533411496551708
prod_sent,ensemble_25,-0.5872365989733299
prod_sent,ensemble_50,-0.025043607317645655
prod_sent,ensemble_75,0.5371493843380428
prod_sent,stack,-0.7910432890161372
prod_sent,baseline,-0.9324524242778459
prod_sent,all_text,-0.5079068547859787
prod_sent,ensemble_25,-0.4044973772434852
prod_sent,ensemble_50,-0.1411301541108851
prod_sent,ensemble_75,0.12223706902171316
prod_sent,stack,-0.620677981561338
prod_sent,baseline,-1.0329444299996895
prod_sent,all_text,-0.45730016726069156
prod_sent,ensemble_25,-0.28250852752908673
prod_sent,ensemble_50,0.10284754531791146
prod_sent,ensemble_75,0.4882036181649086
prod_sent,stack,-0.6756447656926106
prod_sent,baseline,-0.8481641112266516
prod_sent,all_text,-0.4577548992913216
prod_sent,ensemble_25,-0.33247095953639183
prod_sent,ensemble_50,0.0029226813033009225
prod_sent,ensemble_75,0.3383163221429923
prod_sent,stack,-0.6756447656808842
prod_sent,baseline,-0.6774111712743691
prod_sent,all_text,-0.5510991141898557
prod_sent,ensemble_25,-0.37277813781484587
prod_sent,ensemble_50,-0.07769167525360604
prod_sent,ensemble_75,0.21739478730763215
prod_sent,stack,-0.6372657428031014
prod_sent,baseline,-0.3273884140942147
prod_sent,all_text,-0.4153792018804232
prod_sent,ensemble_25,-0.658054604454563
prod_sent,ensemble_50,-0.19011435892348422
prod_sent,ensemble_75,0.2778258866075929
prod_sent,stack,-1.033306776084956
prod_sent,baseline,-0.47497835734223676
prod_sent,all_text,-0.511481185257435
prod_sent,ensemble_25,-0.31228244644090136
prod_sent,ensemble_50,0.043299707494282136
prod_sent,ensemble_75,0.3988818614294645
prod_sent,stack,-0.6756447656808842
prod_sent,baseline,-0.3174513741341798
prod_sent,all_text,-0.4746381265972741
prod_sent,ensemble_25,-0.3356264543436799
prod_sent,ensemble_50,-0.0033883083112752344
prod_sent,ensemble_75,0.3288498377211291
prod_sent,stack,-0.6756447656808842
prod_sent,baseline,-0.785668952146807
prod_sent,all_text,-0.5840006525535135
prod_sent,ensemble_25,-0.30638027809992047
prod_sent,ensemble_50,0.055104044176244094
prod_sent,ensemble_75,0.41658836645240754
prod_sent,stack,-0.6698353239903381
prod_sent,baseline,-0.06755631329069733
prod_sent,all_text,-0.5274951827176846
prod_sent,ensemble_25,-0.5610946448025806
prod_sent,ensemble_50,-0.006226483637438718
prod_sent,ensemble_75,0.5486416775277038
prod_sent,stack,-1.1567876828204648
prod_sent,baseline,-0.5868342743997346
prod_sent,all_text,-0.4956910472223536
prod_sent,ensemble_25,-0.2371834974220356
prod_sent,ensemble_50,0.19349760553201334
prod_sent,ensemble_75,0.6241787084860624
prod_sent,stack,-0.6756447656808842
prod_sent,baseline,-0.5973560068799593
prod_sent,all_text,-0.4046961792558432
prod_sent,ensemble_25,-0.22329491064384188
prod_sent,ensemble_50,0.22127477908840087
prod_sent,ensemble_75,0.6658444688206435
prod_sent,stack,-0.6756447656808842
prod_sent,baseline,-0.11043724374571129
prod_sent,all_text,-0.7289505691849628
prod_sent,ensemble_25,-0.6951868822778323
prod_sent,ensemble_50,-0.23912551176291574
prod_sent,ensemble_75,0.2169358587519985
prod_sent,stack,-0.8630441199168383
prod_sent,baseline,0.2110414161486136
prod_sent,all_text,-0.5371340409456753
prod_sent,ensemble_25,-0.6686871210379908
prod_sent,ensemble_50,-0.21137939209033985
prod_sent,ensemble_75,0.24592833685730986
prod_sent,stack,-1.033306776084956
prod_sent,baseline,0.20577301800549308
prod_sent,all_text,-0.7684335788409227
prod_sent,ensemble_25,-0.6985624447677964
prod_sent,ensemble_50,-0.24587663674284393
prod_sent,ensemble_75,0.20680917128210619
prod_sent,stack,-0.8630441199168384
prod_sent,baseline,-0.14571956041205958
prod_sent,all_text,-0.4479728793026879
prod_sent,ensemble_25,-0.75925011097327
prod_sent,ensemble_50,-0.3925053719608972
prod_sent,ensemble_75,-0.025760632948526985
prod_sent,stack,-1.034711016091239
prod_sent,baseline,-0.41885384869138675
prod_sent,all_text,-0.49837739200796943
prod_sent,ensemble_25,-0.2166824181514193
prod_sent,ensemble_50,0.2344997640732458
prod_sent,ensemble_75,0.6856819462979112
prod_sent,stack,-0.5283720887040069
prod_sent,baseline,0.5919797447485202
prod_sent,all_text,-0.36953156342497095
prod_sent,ensemble_25,-0.6224591197417622
prod_sent,ensemble_50,-0.12895543351580374
prod_sent,ensemble_75,0.36454825271015645
prod_sent,stack,-1.0499674181238747
prod_sent,baseline,-0.6639399607411178
prod_sent,all_text,-0.515468756845221
prod_sent,ensemble_25,-0.32445382549859186
prod_sent,ensemble_50,0.018956949378901133
prod_sent,ensemble_75,0.362367724256393
prod_sent,stack,-0.6756447656808842
prod_sent,baseline,-0.16296375612000702
prod_sent,all_text,-0.48372230736305943
prod_sent,ensemble_25,-0.5766444471931469
prod_sent,ensemble_50,-0.027294044400651307
prod_sent,ensemble_75,0.5220563583918423
prod_sent,stack,-1.033306776084956
prod_sent,baseline,-0.4999971844424889
prod_sent,all_text,-0.49489262374816456
prod_sent,ensemble_25,-0.3016578254938458
prod_sent,ensemble_50,0.06454894938839306
prod_sent,ensemble_75,0.43075572427063114
prod_sent,stack,-0.6756447656808842
prod_sent,baseline,-0.7490987031974544
prod_sent,all_text,-0.589334847824648
prod_sent,ensemble_25,-0.21872898216325393
prod_sent,ensemble_50,0.23040663604957667
prod_sent,ensemble_75,0.6795422542624072
prod_sent,stack,-0.5283720887040069
prod_sent,baseline,-0.16148867632091435
prod_sent,all_text,-0.5733184935967437
prod_sent,ensemble_25,-0.6724022738998514
prod_sent,ensemble_50,-0.18836945670282668
prod_sent,ensemble_75,0.29566336049419817
prod_sent,stack,-1.2657027443653106
prod_sent,baseline,-0.2881693963826466
prod_sent,all_text,-1.0350386247597636
prod_sent,ensemble_25,-0.7564967387945997
prod_sent,ensemble_50,-0.3880328996500406
prod_sent,ensemble_75,-0.019569060505481017
prod_sent,stack,-1.2914548552711216
prod_sent,baseline,-0.8548908368306002
prod_sent,all_text,-0.5391683421190827
prod_sent,ensemble_25,-0.24287869980990495
prod_sent,ensemble_50,0.18210720075627473
prod_sent,ensemble_75,0.6070931013224543
prod_sent,stack,-0.6756447656808842
prod_sent,baseline,-0.4255626918443754
prod_sent,all_text,-0.48900323110632593
prod_sent,ensemble_25,-0.33411684750545356
prod_sent,ensemble_50,-0.00036909463482265314
prod_sent,ensemble_75,0.33337865823580715
prod_sent,stack,-0.6756447656808842
prod_sent,baseline,-1.109401816080208
prod_sent,all_text,-0.5723615100560708
prod_sent,ensemble_25,-0.396097573120739
prod_sent,ensemble_50,-0.12433054586539297
prod_sent,ensemble_75,0.1474364813899512
prod_sent,stack,-0.6697168512367103
prod_sent,baseline,-0.680042660127087
prod_sent,all_text,-0.4947260512132199
prod_sent,ensemble_25,-0.21189881886321643
prod_sent,ensemble_50,0.24406696264965133
prod_sent,ensemble_75,0.7000327441625195
prod_sent,stack,-0.655185058422404
prod_sent,baseline,-0.5382386230077828
prod_sent,all_text,-0.4922439341479913
prod_sent,ensemble_25,-0.24981037878397455
prod_sent,ensemble_50,0.16824384280813548
prod_sent,ensemble_75,0.5862980644002452
prod_sent,stack,-0.6756447656808842
prod_sent,baseline,-0.8104879858175991
prod_sent,all_text,-0.5632164147496224
prod_sent,ensemble_25,-0.35739203323110563
prod_sent,ensemble_50,-0.04691946608612574
prod_sent,ensemble_75,0.26355310105885293
prod_sent,stack,-0.6526555462918474
prod_sent,baseline,-0.729781211137985
prod_sent,all_text,-0.5225232307985425
prod_sent,ensemble_25,-0.28141280102509614
prod_sent,ensemble_50,0.10503899832589259
prod_sent,ensemble_75,0.49149079767688025
prod_sent,stack,-0.6756447656808842
prod_sent,baseline,-0.931523352455406
prod_sent,all_text,-0.4465115050412714
prod_sent,ensemble_25,-0.27650869418367363
prod_sent,ensemble_50,0.11484721200873788
prod_sent,ensemble_75,0.5062031182011483
prod_sent,stack,-0.6756447656808842
prod_sent,baseline,-0.9940516352882175
prod_sent,all_text,-0.3895573854446411
prod_sent,ensemble_25,-0.19901701664285337
prod_sent,ensemble_50,0.26983056709037756
prod_sent,ensemble_75,0.7386781508236089
prod_sent,stack,-0.6728080808260896
prod_sent,baseline,-0.2638389528347034
prod_sent,all_text,-0.4935443426202982
prod_sent,ensemble_25,-0.2450953530097713
prod_sent,ensemble_50,0.1776738943565418
prod_sent,ensemble_75,0.6004431417228553
prod_sent,stack,-0.6756447656808842
prod_sent,baseline,-0.6627638595261184
prod_sent,all_text,-0.5233248117333278
prod_sent,ensemble_25,-0.22954603810295066
prod_sent,ensemble_50,0.20877252417018333
prod_sent,ensemble_75,0.6470910864433171
prod_sent,stack,-0.6756447656808842
prod_sent,baseline,0.02763074260604159
prod_sent,all_text,-0.6240677670389414
prod_sent,ensemble_25,-0.6057983632466208
prod_sent,ensemble_50,-0.08560187650759926
prod_sent,ensemble_75,0.4345946102314203
prod_sent,stack,-1.033306776084956
prod_sent,baseline,0.04061834596795966
prod_sent,all_text,-0.53131899361033
prod_sent,ensemble_25,-0.6159488201618009
prod_sent,ensemble_50,-0.08246804969458665
prod_sent,ensemble_75,0.4510127207726313
prod_sent,stack,-1.1603817807191479
prod_sent,baseline,-0.024786286976229754
prod_sent,all_text,-0.5246882343152537
prod_sent,ensemble_25,-0.30201220106765214
prod_sent,ensemble_50,0.06384019824078024
prod_sent,ensemble_75,0.42969259754921185
prod_sent,stack,-0.6756447656808842
prod_sent,baseline,-0.23115100488757867
prod_sent,all_text,-0.5449204815004487
prod_sent,ensemble_25,-0.6649700254564863
prod_sent,ensemble_50,-0.17350495981609643
prod_sent,ensemble_75,0.31796010582429357
prod_sent,stack,-0.7247542104156612
prod_sent,baseline,-0.10121298761102193
prod_sent,all_text,-0.4990460305544548
prod_sent,ensemble_25,-0.27021997016355
prod_sent,ensemble_50,0.12742466004898456
prod_sent,ensemble_75,0.5250692902615187
prod_sent,stack,-0.6756447656808842
prod_sent,baseline,-0.5372982552474544
prod_sent,all_text,-0.4940893263812177
prod_sent,ensemble_25,-0.22635514192016398
prod_sent,ensemble_50,0.21515431653575667
prod_sent,ensemble_75,0.6566637749916772
prod_sent,stack,-0.6756447656808842
prod_sent,baseline,-0.007247033771168976
prod_sent,all_text,-0.7016713839652948
prod_sent,ensemble_25,-0.6302759024636407
prod_sent,ensemble_50,-0.10488824057986007
prod_sent,ensemble_75,0.42049942130392026
prod_sent,stack,-1.0686398297640758
prod_sent,baseline,-0.3882179713436926
prod_sent,all_text,-0.5077157240756787
prod_sent,ensemble_25,-0.208188670123588
prod_sent,ensemble_50,0.25148726012890843
prod_sent,ensemble_75,0.7111631903814049
prod_sent,stack,-0.6693358976761922
prod_sent,baseline,-0.28295208185954845
prod_sent,all_text,-0.494251119964756
prod_sent,ensemble_25,-0.21627561086289188
prod_sent,ensemble_50,0.23531337865030078
prod_sent,ensemble_75,0.6869023681634934
prod_sent,stack,-0.5283720887040069
prod_sent,baseline,-0.7116217849919242
prod_sent,all_text,-0.5108057481097057
